Strategy 1,Strategy 2,winner,# cards played,wars
3,1,1,300,34
3,1,1,213,15
3,1,1,147,13
3,1,1,43,3
3,1,2,146,8
3,1,1,232,22
3,1,1,41,3
3,1,1,363,27
3,1,1,38,4
3,1,2,110,8
3,1,1,142,12
3,1,1,140,8
3,1,1,134,6
3,1,1,80,2
3,1,1,210,24
3,1,1,270,22
3,1,1,143,11
3,1,1,147,9
3,1,2,79,7
3,1,1,146,12
3,1,1,460,34
3,1,1,235,21
3,1,1,86,6
3,1,1,166,16
3,1,2,121,11
3,1,1,177,11
3,1,1,174,12
3,1,1,446,42
3,1,1,188,10
3,1,1,342,26
3,1,1,401,25
3,1,1,373,29
3,1,1,83,11
3,1,2,98,4
3,1,2,293,21
3,1,1,153,12
3,1,2,246,20
3,1,2,111,3
3,1,1,371,27
3,1,1,151,15
3,2,1,135,9
3,2,1,52,0
3,2,1,57,3
3,2,1,71,5
3,2,1,247,17
3,2,1,187,11
3,2,1,467,39
3,2,2,390,22
3,2,1,445,35
3,2,1,120,10
3,2,2,57,3
3,2,2,110,11
3,2,2,312,18
3,2,2,605,33
3,2,1,220,14
3,2,2,118,10
3,2,2,138,14
3,2,1,267,18
3,2,2,478,32
3,2,2,35,3
3,2,2,249,17
3,2,1,175,11
3,2,1,187,17
3,2,1,117,7
3,2,2,50,4
3,2,2,70,4
3,2,1,71,7
3,2,2,121,7
3,2,2,303,15
3,2,2,109,6
3,2,1,233,15
3,2,2,760,46
3,2,2,46,4
3,2,2,413,31
3,2,1,119,15
3,2,2,342,22
3,2,1,134,10
3,2,1,510,42
3,2,2,204,14
3,2,1,66,4
3,2,1,49,7
3,2,1,43,3
3,2,2,281,17
3,2,2,179,15
3,2,2,119,9
3,2,1,304,24
3,2,1,326,26
3,2,1,326,24
3,2,1,400,30
3,2,2,151,13
3,2,1,212,18
3,2,2,206,21
3,2,2,508,36
3,2,1,95,6
3,2,1,81,7
3,2,1,354,28
3,2,2,169,16
3,2,1,64,2
3,2,2,156,12
3,2,1,154,10
3,2,2,97,7
3,2,2,56,6
3,2,1,640,42
3,2,2,740,60
3,2,2,103,5
3,2,1,69,5
3,2,2,371,27
3,2,2,217,11
3,2,1,909,67
3,2,2,290,22
3,2,1,244,22
3,2,1,196,18
3,2,1,109,9
3,2,1,223,11
3,2,2,86,4
3,2,1,64,4
3,2,1,91,5
3,2,1,393,37
3,2,2,547,33
3,2,2,129,9
3,2,1,483,45
3,2,1,55,5
3,2,2,692,58
3,2,2,424,42
3,2,2,216,16
3,2,2,244,14
3,2,1,174,12
3,2,1,629,43
3,2,2,74,10
3,2,2,43,5
3,2,2,98,8
3,2,1,169,11
3,2,2,283,23
3,2,2,222,14
3,2,1,453,35
3,2,2,172,18
3,2,1,134,10
3,2,2,488,38
3,2,1,58,4
3,2,2,229,17
3,3,1,243,19
3,3,2,111,7
3,3,2,248,16
3,3,2,81,5
3,3,2,125,13
3,3,1,100,8
3,3,2,107,7
3,3,2,55,5
3,3,2,333,29
3,3,2,165,19
3,3,2,408,38
3,3,1,105,3
3,3,2,207,15
3,3,2,123,9
3,3,2,56,6
3,3,2,142,13
3,3,2,362,26
3,3,2,658,47
3,3,1,139,15
3,3,1,176,10
3,3,1,235,27
3,3,1,423,31
3,3,2,563,41
3,3,2,125,10
3,3,1,142,12
3,3,2,163,7
3,3,2,178,10
3,3,2,120,8
3,3,1,125,15
3,3,2,372,35
3,3,2,129,9
3,3,2,73,7
3,3,2,134,12
3,3,1,48,4
3,3,1,623,49
3,3,1,395,27
3,3,1,30,6
3,3,2,128,8
3,3,2,113,9
3,3,1,109,7
3,3,2,150,13
3,3,1,801,57
3,3,2,170,12
3,3,1,42,6
3,3,2,59,5
3,3,2,245,23
3,3,2,55,5
3,3,1,630,48
3,3,2,223,13
3,3,1,322,26
3,3,1,148,9
3,3,1,126,12
3,3,2,89,5
3,3,2,127,11
3,3,2,192,14
3,3,2,173,9
3,3,2,118,14
3,3,1,88,12
3,3,2,286,18
3,3,1,147,7
3,3,1,172,8
3,3,1,572,50
3,3,2,85,7
3,3,2,74,10
3,3,1,89,7
3,3,2,166,10
3,3,2,187,15
3,3,1,132,12
3,3,1,110,8
3,3,2,266,14
3,3,2,191,11
3,3,2,321,21
3,3,1,243,19
3,3,1,130,8
3,3,2,122,9
3,3,2,198,18
3,3,2,33,3
3,3,2,166,18
3,3,1,224,24
3,3,1,272,16
3,3,1,212,16
3,3,2,197,15
3,3,2,174,12
3,3,1,217,17
3,3,2,563,47
3,3,1,45,3
3,3,1,787,55
3,3,2,133,15
3,3,2,289,21
3,3,1,315,29
3,3,1,103,5
3,3,2,171,11
3,3,1,85,7
3,3,2,40,0
3,3,2,197,21
3,3,1,53,5
3,3,2,635,47
3,3,1,239,15
3,3,2,80,8
3,3,1,361,27
3,3,1,66,4
3,3,1,61,7
3,3,2,65,7
3,3,2,176,16
3,3,2,544,42
3,3,1,352,32
3,3,1,115,13
3,3,1,40,4
3,3,2,192,10
3,3,1,359,23
3,3,2,86,8
3,3,2,70,6
3,3,2,110,12
3,3,1,108,6
3,3,1,110,8
3,3,2,85,5
3,3,2,225,23
3,3,1,192,14
